review,cleaned_review,Date,Route,Traveler_Type,Competitor,Key_Issue,Sentiment_Score
"✅ Trip Verified | Twice, delayed flights, plans ruined because can't make connecting fought to destination. They don't give a damn. Done with them. Recommend you choose another carrier.","Twice, delayed flights, plans ruined because can't make connecting fought to destination. They don't give a damn. Done with them. Recommend you choose another carrier.",2025-06-03,DFW-ORD,Business,None,Flight Delay,0.0
"Not Verified |  We flew from Jacksonville to Baltimore. Flight was delayed and I had to make another flight. We stayed at airport over nine hours. Now we are trying to fly back home to Jacksonville and this flight is delayed. Never again will fly such an incompetent airline. So trying to cancel trip in Sept, ticket is non refundable","We flew from Jacksonville to Baltimore. Flight was delayed and I had to make another flight. We stayed at airport over nine hours. Now we are trying to fly back home to Jacksonville and this flight is delayed. Never again will fly such an incompetent airline. So trying to cancel trip in Sept, ticket is non refundable",2023-11-18,MIA-GRU,Leisure,None,Flight Delay,0.25
"Not Verified |  Terrible. My family and I were forced to check our bags even though there was plenty of room in the overhead compartments for our carry ons, and our carry ons were within the size limit for the compartments. Once at the baggage claim, all of our bags eventually came out except for mine. We headed into the customer relations office to ask if they knew where my bag was, and the woman’s response was, “We’ve been waiting for you to come in here.” They then proceeded to show me that my bag had been completely shredded, and several items inside had been shredded as well. It was very obvious that they were not planning on going out of their way to show me my damaged bag or make up for the damages. I’m very disappointed with the customer service and the lack of awareness in today’s world. I will not be flying with American again.","Terrible. My family and I were forced to check our bags even though there was plenty of room in the overhead compartments for our carry ons, and our carry ons were within the size limit for the compartments. Once at the baggage claim, all of our bags eventually came out except for mine. We headed into the customer relations office to ask if they knew where my bag was, and the woman’s response was, “We’ve been waiting for you to come in here.” They then proceeded to show me that my bag had been completely shredded, and several items inside had been shredded as well. It was very obvious that they were not planning on going out of their way to show me my damaged bag or make up for the damages. I’m very disappointed with the customer service and the lack of awareness in today’s world. I will not be flying with American again.",2025-03-12,LAX-JFK,Leisure,None,Baggage,-0.31071428571428567
"✅ Trip Verified |  Worst experience ever. Flight delayed then cancelled. Offered hotel voucher but one person for a line as big an aircraft capacity. Five people were helped in 2 hours. Then we got cards that says we're closed and she left. Voucher for food was $12. A hamburger is $25. Doesn't matter, they were all closed. Then delay to another gate to delayed again. We had the plane from last night. They said we could leave are bags on board. So we have a plane with no crew or pilot. Every AA employee was pretty rude and wouldn't do anything for you. I'm cancelling my AA credit card because I don't want to use American airlines ever again.","Worst experience ever. Flight delayed then cancelled. Offered hotel voucher but one person for a line as big an aircraft capacity. Five people were helped in 2 hours. Then we got cards that says we're closed and she left. Voucher for food was $12. A hamburger is $25. Doesn't matter, they were all closed. Then delay to another gate to delayed again. We had the plane from last night. They said we could leave are bags on board. So we have a plane with no crew or pilot. Every AA employee was pretty rude and wouldn't do anything for you. I'm cancelling my AA credit card because I don't want to use American airlines ever again.",2023-07-31,LAX-JFK,Leisure,None,Staff Service,-0.13888888888888892
"✅ Trip Verified |  Flight 703 CLT to BUF was diverted to PIT on Sunday, 25 June 2023, for valid reasons. Stuff happens. Vouchers were given for a hotel and for food. A voucher was promised for travel to hotels that did not have a shuttle service. The travel confirmation texted to my phone contained a link to american-airlines-passengers.tvlinc.com/. The page to which the link led provided a registration code for the hotel and a voucher for $12 for food. In the middle of the page, it said, ""No shuttle: Transport voucher will be available after hotel is booked."" No vouchers were given at the gate in the airport. No voucher was given by the hotel. No voucher appeared in my American Airlines app. No voucher was offered today as I checked back in for the flight to BUF. We were told that all we had to do was to contact aa.com/refunds to file a claim for the travel to and from the hotel. 1. There is no option on aa.com/refunds to ask for transportation to and from the hotel. 2. A link in the support page asks whether the user would like to chat with support, but the page to which the link leads has no portal to a chat system. I do not think American Airlines is competent enough to be lying. They just do not know what they are doing. Stuff happens, but some stuff that happens is contemptible. I pass over the hour wait in PIT for a storage container to be delivered to the pantry. That is a whole other level of incompetence that just added ire to the fire.","Flight 703 CLT to BUF was diverted to PIT on Sunday, 25 June 2023, for valid reasons. Stuff happens. Vouchers were given for a hotel and for food. A voucher was promised for travel to hotels that did not have a shuttle service. The travel confirmation texted to my phone contained a link to american-airlines-passengers.tvlinc.com/. The page to which the link led provided a registration code for the hotel and a voucher for $12 for food. In the middle of the page, it said, ""No shuttle: Transport voucher will be available after hotel is booked."" No vouchers were given at the gate in the airport. No voucher was given by the hotel. No voucher appeared in my American Airlines app. No voucher was offered today as I checked back in for the flight to BUF. We were told that all we had to do was to contact aa.com/refunds to file a claim for the travel to and from the hotel. 1. There is no option on aa.com/refunds to ask for transportation to and from the hotel. 2. A link in the support page asks whether the user would like to chat with support, but the page to which the link leads has no portal to a chat system. I do not think American Airlines is competent enough to be lying. They just do not know what they are doing. Stuff happens, but some stuff that happens is contemptible. I pass over the hour wait in PIT for a storage container to be delivered to the pantry. That is a whole other level of incompetence that just added ire to the fire.",2023-10-25,JFK-LHR,Business,None,Staff Service,0.10833333333333334
"Not Verified | Our mission trip to Africa was cancelled due to travel in vain. The airline failed to get us to our destination, it is as simple as that. There were 23 of us traveling together, all leaving from Albuquerque. Our American Airlines connection in Dallas was delayed so we missed our connecting Qatar flight which then spiralled into a nightmare of trying to get our flights rebooked for 48 hours. We were told that our tickets were booked and that our luggage would only go where our tickets specify (by multiple agents from Qatar and American) only to find out when we went to check in that our flights had not been rebooked, and later that our luggage was not remotely attached to our tickets (but halfway around the country or world without us). The nightmare we went through trying to get American and Qatar to talk to each other to make sure our flights were actually booked was an unacceptable fiasco that no paying customer should ever have to go through. We went back and forth between the two counters dozens of times only to find out each time that their systems would not work with each other. This ultimately ended in our trip having to be cancelled because the airlines could not get all 23 passengers on a flight to our destination before the gate closed. The lack of efficiency was only second to the lack of care and empathy on the Airline's part. The customer service we experienced from American throughout this process was abysmal- agents literally laughed at a hopeless mother of six who had been stranded for two days because of their system's incompetence. We did everything in our power to ensure that we were working within the system requirements, being diligent to double or triple check things (even though that is not our job) and get to the airport 5-6 hours early to be safe. None of it mattered. In the end the Airlines failed miserably to treat us like respected customers or even with basic human decency. Because of this disaster and being stuck in Dallas for nearly 72 hours we incurred thousands of dollars in expenses (hotel rooms, Uber rides, food deliveries). We hold American responsible for this nightmare, though Qatar played their part as well. If they had not closed the gate on 23 people 30 seconds before we walked up to the gate (and refused to reopen it) none of this would have ever happened. But it did happen, and now we need to be reimbursed for this horrific disaster. ","Our mission trip to Africa was cancelled due to travel in vain. The airline failed to get us to our destination, it is as simple as that. There were 23 of us traveling together, all leaving from Albuquerque. Our American Airlines connection in Dallas was delayed so we missed our connecting Qatar flight which then spiralled into a nightmare of trying to get our flights rebooked for 48 hours. We were told that our tickets were booked and that our luggage would only go where our tickets specify (by multiple agents from Qatar and American) only to find out when we went to check in that our flights had not been rebooked, and later that our luggage was not remotely attached to our tickets (but halfway around the country or world without us). The nightmare we went through trying to get American and Qatar to talk to each other to make sure our flights were actually booked was an unacceptable fiasco that no paying customer should ever have to go through. We went back and forth between the two counters dozens of times only to find out each time that their systems would not work with each other. This ultimately ended in our trip having to be cancelled because the airlines could not get all 23 passengers on a flight to our destination before the gate closed. The lack of efficiency was only second to the lack of care and empathy on the Airline's part. The customer service we experienced from American throughout this process was abysmal- agents literally laughed at a hopeless mother of six who had been stranded for two days because of their system's incompetence. We did everything in our power to ensure that we were working within the system requirements, being diligent to double or triple check things (even though that is not our job) and get to the airport 5-6 hours early to be safe. None of it mattered. In the end the Airlines failed miserably to treat us like respected customers or even with basic human decency. Because of this disaster and being stuck in Dallas for nearly 72 hours we incurred thousands of dollars in expenses (hotel rooms, Uber rides, food deliveries). We hold American responsible for this nightmare, though Qatar played their part as well. If they had not closed the gate on 23 people 30 seconds before we walked up to the gate (and refused to reopen it) none of this would have ever happened. But it did happen, and now we need to be reimbursed for this horrific disaster.",2024-03-09,ORD-LHR,Leisure,"Yes, the user explicitly mentions Qatar Airways as a competitor airline.",Staff Service,-0.013194444444444437
"Not Verified |  This is by far the worst flying experience I’ve ever had the displeasure of experiencing. The staff were unhelpful, rude, and just gave wrong directions, our gate changed a total of five times and looping back to our original gate, it took two hours to even get a crew on board the plane, and when we were finally seated and ready to go, they had to refuel the plane! Our flight was supposed to leave at 4 pm, but it left at 9:20pm. I never wish to fly with this horrible airline for as long as I live. Awful experience.","This is by far the worst flying experience I’ve ever had the displeasure of experiencing. The staff were unhelpful, rude, and just gave wrong directions, our gate changed a total of five times and looping back to our original gate, it took two hours to even get a crew on board the plane, and when we were finally seated and ready to go, they had to refuel the plane! Our flight was supposed to leave at 4 pm, but it left at 9:20pm. I never wish to fly with this horrible airline for as long as I live. Awful experience.",2023-10-09,JFK-LHR,Leisure,None,Staff Service,-0.1459090909090909
"✅ Trip Verified |  They failed to take off on time resulting in being late to the next 2 flights, then they had the audacity to tell my wife the she will be stuck in Charlotte for the night and they will not be providing a room for her because the flight was delayed due to weather issues. The only reason i even bought the tickets where because it was last minute and there were no other options.","They failed to take off on time resulting in being late to the next 2 flights, then they had the audacity to tell my wife the she will be stuck in Charlotte for the night and they will not be providing a room for her because the flight was delayed due to weather issues. The only reason i even bought the tickets where because it was last minute and there were no other options.",2023-05-20,LAX-JFK,Leisure,None,Flight Delay,-0.12321428571428572
"Not Verified |  Good service generally but three major complaints. Because Limited business class space, had to fly economy. After two legs in business class (Johannesburg, Dubai, Miami) this represented huge challenges with luggage, which cost a fortune. Did nobody foresee this disconnect? Loyalty program is a total con - none of benefits (priority boarding, first bag free) materialized. So why bother? Blatant profiling at boarding, clearly rules apply only to certain passengers","Good service generally but three major complaints. Because Limited business class space, had to fly economy. After two legs in business class (Johannesburg, Dubai, Miami) this represented huge challenges with luggage, which cost a fortune. Did nobody foresee this disconnect? Loyalty program is a total con - none of benefits (priority boarding, first bag free) materialized. So why bother? Blatant profiling at boarding, clearly rules apply only to certain passengers",2024-05-26,ORD-LHR,Business,None,Baggage,0.18502747252747254
"✅ Trip Verified |  As someone who travels frequently, this was the first time I encountered a staff that didn't know how to smile or appear willing to help. This issue was not limited to a single staff member; the next desk had the same attitude. Since this was a work trip, my colleagues also had the same impression about the whole crew. It's not just about their lack of willingness to work; it's also the attitude that made me feel like I was doing something wrong or that I was an unvalued person who didn't deserve good service. I was not going to write a review but they forced me to do this with things that happened afterward. My bag has not arrived with me. Their staff assured me that my bag would be sent directly to Porto. Trusting their words, I didn't even think about tracking my bag during my 5-hour layover in Lisbon. Why would I? I have learned that my baggage was not even checked into Lisbon airport. Consequently, when I arrived in Porto, I had to wait a long time for my bag. I notified the lost bag department and missed my paid train home. I was exhausted and disappointed, not knowing what to do without my presentation materials. They called me whoever I was talking to (Stacey) was the only good thing about this airline. She was nice. I spent around 60 euros because of them. (paid ticket, presentation materials, clothes etc.) However, the other airline companies I know generally pay compensation right away. Here, they are asking you to fill out a form to claim your money.  It is well designed for you to give up and not be able to fill out the form to claim your money. In any way, the time I lost, the frustration I had for a couple of days. These were all enough for me to never ever use this company. This was my first experience with American Airlines, and I am sorry that it turned out this way.","As someone who travels frequently, this was the first time I encountered a staff that didn't know how to smile or appear willing to help. This issue was not limited to a single staff member; the next desk had the same attitude. Since this was a work trip, my colleagues also had the same impression about the whole crew. It's not just about their lack of willingness to work; it's also the attitude that made me feel like I was doing something wrong or that I was an unvalued person who didn't deserve good service. I was not going to write a review but they forced me to do this with things that happened afterward. My bag has not arrived with me. Their staff assured me that my bag would be sent directly to Porto. Trusting their words, I didn't even think about tracking my bag during my 5-hour layover in Lisbon. Why would I? I have learned that my baggage was not even checked into Lisbon airport. Consequently, when I arrived in Porto, I had to wait a long time for my bag. I notified the lost bag department and missed my paid train home. I was exhausted and disappointed, not knowing what to do without my presentation materials. They called me whoever I was talking to (Stacey) was the only good thing about this airline. She was nice. I spent around 60 euros because of them. (paid ticket, presentation materials, clothes etc.) However, the other airline companies I know generally pay compensation right away. Here, they are asking you to fill out a form to claim your money.  It is well designed for you to give up and not be able to fill out the form to claim your money. In any way, the time I lost, the frustration I had for a couple of days. These were all enough for me to never ever use this company. This was my first experience with American Airlines, and I am sorry that it turned out this way.",2024-11-14,LAX-JFK,Business,None,Staff Service,0.05258620689655172
